Year,Month,Day,Human Error,Electrical,Temperature,Wind Speed,Precipitation,Fire Occurred
2021,5,6,0,0,30.2,0,8.6,0
2021,5,7,0,0,29.8,1.2,10.6,0
2021,5,8,0,0,29.9,0.2,10,0
2021,5,9,0,0,30.4,0,9.8,0
2021,5,10,0,0,30,0.5,11.1,0
2021,5,12,0,0,30.4,0.4,13.6,0
2021,5,13,0,0,30.6,0,14,0
2021,5,14,0,0,30.4,0,13.3,0
2021,5,15,0,0,30.5,0.1,13.9,0
2021,5,16,0,0,30.4,0.4,13.2,0
2021,5,18,0,0,30.7,0.5,13.5,0
2021,5,19,0,0,30.8,0,15.9,0
2021,5,20,0,0,30.2,0.7,13.2,0
2021,5,21,0,0,29.5,5.5,10.7,0
2021,5,22,0,0,28.4,6.2,8.6,0
2021,5,23,0,0,29,1.2,5.7,0
2021,5,24,0,0,28.6,2.1,6.5,0
2021,5,25,0,0,29.7,0.3,9.1,0
2021,5,27,0,0,29.9,0.7,6.5,0
2021,5,28,0,0,30.1,1.8,6.9,0
2021,5,29,0,0,30.1,2.7,7.8,0
2021,5,30,0,0,29,3.4,7.9,0
2021,5,31,0,0,29.7,5.4,6.7,0
2021,6,1,0,0,29.8,1.7,7,0
2021,6,2,0,0,28.4,32.7,16.2,0
2021,6,3,0,0,27.5,32.9,22.8,0
2021,6,4,0,0,27.9,24.4,14.6,0
2021,6,5,0,0,28.6,3.8,10.4,0
2021,6,6,0,0,28.3,3.9,10,0
2021,6,7,0,0,27.5,14.9,6,0
2021,6,8,0,0,26.9,24.9,7.3,0
2021,6,9,0,0,26.8,7.3,7.5,0
2021,6,10,0,0,27.4,9.3,6.8,0
2021,6,11,0,0,27.1,18,6.1,0
2021,6,12,0,0,27.4,32.7,7.4,0
2021,6,13,0,0,27,22.2,6.4,0
2021,6,14,0,0,27.7,5.9,10,0
2021,6,15,0,0,28.3,1.1,10.4,0
2021,6,16,0,0,28.5,0.4,9.1,0
2021,6,17,0,0,29,0.5,9.9,0
2021,6,18,0,0,29.1,0.2,9.4,0
2021,6,19,0,0,28.5,5.6,12.6,0
2021,6,20,0,0,27.6,12.9,14.2,0
2021,6,21,0,0,27,22.7,14.8,0
2021,6,22,0,0,27,11.7,14.6,0
2021,6,23,0,0,27,11.3,12.1,0
2021,6,24,0,0,27.4,12.3,10.2,0
2021,6,25,0,0,27.7,5.7,7.5,0
2021,6,26,0,0,28.3,1.2,5.7,0
2021,6,27,0,0,28.3,10.2,3.6,0
2021,6,28,0,0,27.7,16.4,5.4,0
2021,6,29,0,0,28.2,1.4,8.1,0
2021,6,30,0,0,28.7,2.1,6.3,0
2021,7,1,0,0,28.6,7.2,4.3,0
2021,7,2,0,0,27.7,4.9,4.6,0
2021,7,3,0,0,26.4,22.1,5.8,0
2021,7,4,0,0,27.2,2.9,12.5,0
2021,7,5,0,0,27.3,4.8,9.3,0
2021,7,6,0,0,27,12.1,6.1,0
2021,7,7,0,0,28,0.7,5.4,0
2021,7,8,0,0,28,0.8,4.7,0
2021,7,9,0,0,28.2,1.5,7.2,0
2021,7,10,0,0,28.2,1,8.3,0
2021,7,11,0,0,28.2,1.4,6.6,0
2021,7,12,0,0,28.2,3.4,4.2,0
2021,7,13,0,0,27.9,6.4,5.5,0
2021,7,14,0,0,27.4,7,3.7,0
2021,7,15,0,0,27.2,19.6,7.7,0
2021,7,16,0,0,27.4,8.4,6.6,0
2021,7,17,0,0,27.4,12.1,6.5,0
2021,7,18,0,0,26.9,23.2,14.1,0
2021,7,19,0,0,26.7,24.8,22.7,0
2021,7,20,0,0,26.7,25.3,21.5,0
2021,7,21,0,0,26.8,23.3,22.3,0
2021,7,22,0,0,26.9,19.2,25.8,0
2021,7,24,0,0,26.7,25.7,31.3,0
2021,7,26,0,0,28.1,8.6,30.5,0
2021,7,27,0,0,27.5,14.9,30,0
2021,7,28,0,0,26.8,24.4,27,0
2021,7,29,0,0,26.9,28.4,24.1,0
